7012 Bangsund;5007 Namsos - Nåavmesjenjaelmie;877;;0,67;;1 318
7013 Namsos;5007 Namsos - Nåavmesjenjaelmie;8 307;;4,60;;1 804
7014 Spillum;5007 Namsos - Nåavmesjenjaelmie;1 331;;1,70;;785
7021 Midtbygda;5034 Meråker;1 023;;1,42;;719
7031 Hegra;5035 Stjørdal;980;;0,66;;1 492
7033 Skatval;5035 Stjørdal;959;;0,59;;1 626
7034 Stjørdalshalsen;5035 Stjørdal;13 378;;7,48;;1 788
7035 Hell;5035 Stjørdal;1 836;;1,23;;1 489
7037 Prestmoen;5035 Stjørdal;372;;0,20;;1 883
7041 Leksvik;5054 Indre Fosen;1 118;;1,45;;771
7042 Vanvikan;5054 Indre Fosen;724;;0,58;;1 251
7051 Levanger;5037 Levanger;10 384;;5,31;;1 957
7052 Skogn;5037 Levanger;1 960;;1,15;;1 708
7053 Åsen;5037 Levanger;650;;0,56;;1 154
7057 Ekne;5037 Levanger;312;;0,23;;1 369
7062 Trones;5038 Verdal;398;;0,20;;2 037
7064 Lysthaugen;5038 Verdal;298;;0,23;;1 276
7065 Vuku;5038 Verdal;223;;0,23;;955
7066 Forbregd/Lein;5038 Verdal;851;;0,41;;2 054
7068 Verdalsøra;5038 Verdal;8 535;;6,01;;1 420
7071 Malm;5006 Steinkjer;1 122;;1,35;;832
7072 Follafoss;5006 Steinkjer;378;;0,70;;543
7081 Namdalseid;5007 Namsos - Nåavmesjenjaelmie;346;;0,29;;1 183
7091 Hylla;5053 Inderøy;351;;0,29;;1 192
7092 Røra Stasjon;5053 Inderøy;446;;0,48;;926
7093 Straumen;5053 Inderøy;1 764;;1,42;;1 244
7094 Gangstadhaugen;5053 Inderøy;225;;0,14;;1 623
7095 Småland;5053 Inderøy;272;;0,20;;1 360
7101 Snåsa;5041 Snåase - Snåsa;660;;0,84;;788
7111 Sandvika;5042 Lierne;216;;0,39;;554
7121 Røyrvik;5043 Raarvihke - Røyrvik;227;;0,38;;605
7132 Namsskogan Sentrum;5044 Namsskogan;217;;0,29;;753
7142 Grong;5045 Grong;1 065;;1,13;;943
7151 Høylandet;5046 Høylandet;335;;0,45;;749
7161 Skage;5047 Overhalla;820;;0,59;;1 401
7162 Ranemsletta;5047 Overhalla;487;;0,47;;1 031
7163 Svalia;5047 Overhalla;279;;0,24;;1 147
7164 Skogmo;5047 Overhalla;280;;0,57;;489
7171 Lauvsnes;5049 Flatanger;504;;0,58;;870
7181 Rørvik;5060 Nærøysund;3 385;;2,06;;1 642
7192 Ottersøy;5060 Nærøysund;233;;0,33;;699
7194 Kolvereid;5060 Nærøysund;1 728;;1,28;;1 348
7211 Mosvik;5053 Inderøy;303;;0,48;;637
7501 Bodø;1804 Bodø;42 662;;14,88;;2 867
7502 Løding;1804 Bodø;3 140;;1,32;;2 370
7503 Løpsmarka;1804 Bodø;2 299;;0,67;;3 433
7511 Bjerkvik;1806 Narvik;1 094;;1,34;;817
7512 Narvik;1806 Narvik;14 035;;6,92;;2 027
7513 Beisfjord;1806 Narvik;683;;0,69;;984
7514 Håkvik;1806 Narvik;735;;0,57;;1 279
7521 Terråk;1811 Bindal;520;;0,61;;851
7531 Vik;1812 Sømna;330;;0,50;;660
7532 Berg i alt;;616;;0,65;;954
;1812 Sømna;;601;;0,62;968
;1813 Brønnøy;;15;;0,02;608
7542 Brønnøysund;1813 Brønnøy;4 995;;3,37;;1 484
7543 Toft;1813 Brønnøy;219;;0,28;;793
7544 Nordhus;1813 Brønnøy;342;;0,28;;1 216
7551 Gladstad;1815 Vega;280;;0,49;;571
7561 Silvalen;1818 Herøy (Nordland);855;;0,97;;879
7572 Sandnessjøen;1820 Alstahaug;5 956;;4,25;;1 401
7581 Mosjøen;1824 Vefsn;9 794;;6,51;;1 505
7591 Trofors;1825 Grane;838;;0,79;;1 064
7601 Hattfjelldal;1826 Aarborte - Hattfjelldal;504;;0,86;;586
7611 Nesna;1828 Nesna;1 263;;1,07;;1 177
7621 Hemnesberget;1832 Hemnes;1 252;;1,11;;1 125
7623 Bjerka;1832 Hemnes;473;;0,70;;676
7624 Korgen;1832 Hemnes;909;;0,96;;951
7631 Mo I Rana;1833 Rana;18 864;;12,80;;1 474
7632 Storforshei;1833 Rana;601;;0,76;;787
7633 Hauknes;1833 Rana;2 124;;1,23;;1 730
7634 Alternes;1833 Rana;220;;0,13;;1 747
7641 Lovund;1834 Lurøy;515;;0,52;;986
7651 Husøy;1835 Træna;393;;0,42;;944
7661 Ørnes;1837 Meløy;1 687;;1,56;;1 081
7662 Glomfjord;1837 Meløy;1 081;;1,19;;910
7663 Reipå;1837 Meløy;266;;0,44;;601
7664 Eidbukta;1837 Meløy;551;;0,76;;724
7671 Inndyr;1838 Gildeskål;629;;0,76;;830
7681 Rognan;1840 Saltdal;2 572;;2,54;;1 012
7691 Sulitjelma;1841 Fauske - Fuossko;386;;0,53;;733
7692 Fauske;1841 Fauske - Fuossko;6 262;;4,64;;1 349
7693 Strømsnes;1841 Fauske - Fuossko;479;;0,61;;784
7702 Straumen;1845 Sørfold;838;;1,08;;774
7703 Leinesfjord;1848 Steigen;228;;0,27;;830
7711 Oppeid;1875 Hábmer - Hamarøy;536;;0,68;;786
7721 Kjøpsvik;1806 Narvik;803;;0,97;;831
7722 Drag;1875 Hábmer - Hamarøy;318;;0,45;;701
7731 Lødingen;1851 Lødingen;1 596;;1,48;;1 081
7743 Ramsund;5412 Dielddanuorri - Tjeldsund;318;;0,60;;533
7751 Liland;1853 Evenes - Evenášši;311;;0,30;;1 023
7752 Bogen;1853 Evenes - Evenášši;384;;0,55;;696
7761 Ballangen;1806 Narvik;827;;1,00;;824
7781 Sørland;1857 Værøy;583;;0,99;;591
7801 Stamsund;1860 Vestvågøy;1 103;;1,03;;1 068
7802 Leknes;1860 Vestvågøy;3 722;;2,68;;1 389
7803 Ballstad;1860 Vestvågøy;832;;0,77;;1 087
7804 Gravdal;1860 Vestvågøy;1 676;;1,26;;1 333
7812 Kabelvåg;1865 Vågan;2 234;;1,35;;1 655
7813 Henningsvær;1865 Vågan;517;;0,30;;1 722
7814 Svolvær;1865 Vågan;4 751;;2,35;;2 026
